Attendance Date			01-Oct-2025,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,1,MS3132,09:15:23,14:32:15,,5:17,00:00,5:17,Present ,,
,2,MS3133,09:19:50,18:45:16,,9:26,00:00,9:26,Present ,,
,3,MS3155,08:56:36,14:55:28,,5:59,00:00,5:59,Present ,,
,4,MS3165,13:44:37,,,4:46,00:00,4:46,Present  (No OutPunch),,
,5,MS3173,11:34:19,18:28:33,,6:54,00:00,6:54,Present ,,
,6,MS3175,11:42:56,18:24:03,,6:42,00:00,6:42,Present ,,
,7,MS3219,13:04:10,18:47:16,,5:43,00:00,5:43,Present ,,
,8,MS3241,09:00:35,,,9:00,00:30,9:30,Present  (No OutPunch),,
,9,MS3388,09:13:55,,,9:17,00:00,9:17,Present  (No OutPunch),,
,10,MS3405,11:38:35,,,6:52,00:00,6:52,Present  (No OutPunch),,
,11,MS3414,11:40:22,18:32:05,,6:52,00:00,6:52,Present ,,
,12,MS3417,11:32:04,,,6:58,00:00,6:58,Present  (No OutPunch),,
,13,MS3437,09:10:35,18:47:06,,9:00,00:37,9:37,Present ,,
,14,MS3442,08:56:16,18:47:01,,9:00,00:50,9:50,Present ,,
,15,MS3449,09:13:07,19:04:55,,9:00,00:51,9:51,Present ,,
,16,MS3486,09:01:41,14:41:34,,5:40,00:00,5:40,Present ,,
,17,MS3523,,,,00:00,00:00,00:00,Absent,,
,18,MS3528,09:06:57,18:52:28,,9:00,00:46,9:46,Present ,,
,19,MS3545,09:20:06,11:47:20,,2:27,00:00,2:27, ½Present ,,
,20,MS3570,11:34:24,13:44:12,,2:10,00:00,2:10, ½Present ,,
,21,MS3574,11:39:49,18:45:23,,7:06,00:00,7:06,Present ,,
,22,MS3612,11:23:36,19:03:22,,7:40,00:00,7:40,Present ,,
,23,MS3625,,,,00:00,00:00,00:00,Absent,,
,24,MS3629,11:45:16,14:35:50,,2:50,00:00,2:50, ½Present ,,
,25,MS3632,,,,00:00,00:00,00:00,Absent,,
,26,MS3693,09:08:10,13:55:12,,4:47,00:00,4:47,Present ,,
,27,MS3712,11:09:08,14:34:30,,3:25,00:00,3:25, ½Present ,,
,28,MS3754,09:00:32,18:54:12,,9:00,00:54,9:54,Present ,,
,29,MS3788,08:59:50,18:51:49,,9:00,00:52,9:52,Present ,,
